광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역,ID,y,x
광주광역시,남구,54446,26935,36561,214845,103448,111397,0.7367139848472416,0,0,광주 남구,23,2
광주광역시,동구,27106,13073,21207,99138,49085,50053,0.61644739944358,0,0,광주 동구,23,3
광주광역시,북구,118632,56668,62737,429591,213094,216498,0.9032628273586559,0,0,광주 북구,22,3
광주광역시,서구,82728,40599,41057,297084,145639,151445,0.9888447767737536,0,0,광주 서구,22,2
대구광역시,남구,37443,18202,32971,145124,69856,75268,0.5520609020047921,0,0,대구 남구,15,9
대구광역시,달서구,147638,69847,77721,560982,276907,284076,0.8986889000398862,0,0,대구 달서,16,8
대구광역시,달성군,71490,33417,31631,257019,130483,126536,1.0564635958395243,0,0,대구 달성,16,9
대구광역시,동구,86337,40511,64999,340729,167923,172807,0.6232557423960369,0,0,대구 동구,15,10
대구광역시,북구,115385,53992,61525,436380,217210,219170,0.8775619666802112,0,0,대구 북구,14,8
대구광역시,서구,39938,17683,37166,170923,85626,85297,0.4757843190012377,1,0,대구 서구,15,8
대구광역시,수성구,98867,47965,64405,423483,205156,218328,0.7447403151929198,0,0,대구 수성,14,10
대구광역시,중구,22509,11288,15239,75567,36422,39146,0.7407310190957412,0,0,대구 중구,14,9
대전광역시,대덕구,44730,20171,26758,175497,89154,86343,0.7538306300919351,0,0,대전 대덕,13,5
대전광역시,동구,56703,26442,41078,222608,112097,110512,0.6437022250352987,0,0,대전 동구,14,5
대전광역시,서구,140045,68725,58712,476497,234238,242260,1.1705443520915657,0,0,대전 서구,16,4
대전광역시,유성구,108310,51206,32159,348735,176042,172693,1.5922758792251004,0,0,대전 유성,15,4
대전광역시,중구,57858,28139,44187,235822,116308,119515,0.6368162581754815,0,0,대전 중구,15,5
부산광역시,강서구,38916,18716,15634,132918,68663,64255,1.1971344505564794,0,0,부산 강서,18,8
부산광역시,금정구,59641,28008,47025,233506,114217,119289,0.5955980861244019,0,0,부산 금정,16,10
부산광역시,기장군,41060,20127,26315,168798,83578,85221,0.764848945468364,0,0,부산 기장,16,12
부산광역시,남구,66626,31886,51966,268383,131538,136846,0.6135935034445599,0,0,부산 남구,19,11
부산광역시,동구,20553,9801,22185,86801,42646,44156,0.4417849898580122,1,0,부산 동구,18,10
부산광역시,동래구,66293,32277,47578,268387,130808,137579,0.6784017823363739,0,0,부산 동래,16,11
부산광역시,부산진구,99361,49546,67325,354108,171332,182776,0.7359227627181582,0,0,부산 부산진,17,10
부산광역시,북구,72717,34310,47158,285666,141393,144273,0.7275541795665634,0,0,부산 북구,17,9
부산광역시,사상구,55276,25681,37178,213286,107659,105628,0.6907579751465921,0,0,부산 사상,18,9
부산광역시,사하구,78920,36886,56959,313486,156182,157305,0.6475886163731807,0,0,부산 사하,19,10
부산광역시,서구,24756,12244,25915,105948,51485,54464,0.4724676828091839,1,0,부산 서구,19,9
부산광역시,수영구,47944,24212,36166,174591,82665,91926,0.6694685616324725,0,0,부산 수영,20,11
부산광역시,연제구,53627,26538,38595,207199,99974,107225,0.6876020209871745,0,0,부산 연제,17,11
부산광역시,영도구,23103,10558,30089,113043,55798,57245,0.3508923526870285,1,0,부산 영도,20,10
부산광역시,중구,10011,4814,10430,40446,19836,20610,0.4615532118887824,1,0,부산 중구,18,11
부산광역시,해운대구,96706,47782,67224,400015,192805,207210,0.7107878138759967,0,0,부산 해운대,17,12
서울특별시,강남구,156053,83016,70008,530126,253755,276372,1.1858073363044224,0,0,서울 강남,7,7
서울특별시,강동구,129061,64619,65025,441733,217560,224173,0.993756247597078,0,0,서울 강동,5,8
서울특별시,강북구,82271,40500,60093,305512,148977,156535,0.6739553691777744,0,0,서울 강북,3,5
서울특별시,강서구,187063,95668,84457,579138,279976,299163,1.1327421054501108,0,0,서울 강서,5,4
서울특별시,관악구,194638,94236,74422,489799,245687,244112,1.266238477869447,0,0,서울 관악,8,5
서울특별시,광진구,118572,61316,47428,343783,166230,177554,1.2928228050940374,0,0,서울 광진,6,7
서울특별시,구로구,118714,59236,65807,400915,197916,202999,0.9001474007324449,0,0,서울 구로,8,4
서울특별시,금천구,71700,33649,37128,228342,115594,112748,0.9062971342383108,0,0,서울 금천,7,4
서울특별시,노원구,138920,68501,81587,522235,252410,269826,0.8396068001029576,0,0,서울 노원,2,6
서울특별시,도봉구,85633,41870,59158,325050,158708,166343,0.7077656445451165,0,0,서울 도봉,2,5
서울특별시,동대문구,105551,51858,58129,337801,167564,170237,0.8921192520084641,0,0,서울 동대문,4,7
서울특별시,동작구,128785,64988,61506,387859,187886,199973,1.056612363021494,0,0,서울 동작,6,5
서울특별시,마포구,125017,66965,50654,365392,172413,192979,1.3220081336123504,0,0,서울 마포,5,5
서울특별시,서대문구,93510,47757,50450,304074,145927,158147,0.9466204162537164,0,0,서울 서대문,4,5
서울특별시,서초구,119306,63275,56204,419614,200823,218791,1.1258095509216426,0,0,서울 서초,7,6
서울특별시,성동구,94648,47938,42932,291841,142673,149168,1.1166030000931706,0,0,서울 성동,5,7
서울특별시,성북구,126470,64406,69512,432206,209002,223205,0.9265450569685808,0,0,서울 성북,3,6
서울특별시,송파구,205917,107181,87862,662838,320336,342502,1.2198789010038469,0,0,서울 송파,6,8
서울특별시,양천구,118257,58930,62000,450971,221368,229603,0.950483870967742,0,0,서울 양천,6,4
서울특별시,영등포구,124515,62844,56298,366258,181332,184926,1.116274112757114,0,0,서울 영등포,7,5
서울특별시,용산구,70034,35703,35173,219404,106237,113167,1.0150683763113753,0,0,서울 용산,6,6
서울특별시,은평구,134477,68486,79998,471906,227029,244877,0.8560964024100602,0,0,서울 은평,4,4
서울특별시,종로구,43061,21736,25597,144866,70613,74253,0.8491620111731844,0,0,서울 종로,4,6
서울특별시,중구,38455,19592,21878,121520,59536,61984,0.8955114727123138,0,0,서울 중구,5,6
서울특별시,중랑구,114135,56241,65636,390233,193106,197128,0.8568620878786032,0,0,서울 중랑,4,8
세종특별자치시,세종시,98167,49576,33147,347070,173130,173940,1.4956406311280055,0,0,세종,13,4
울산광역시,남구,88708,40457,37419,319908,162963,156945,1.0811887009273364,0,0,울산 남구,15,12
울산광역시,동구,42035,18698,18893,157346,82169,75177,0.9896787169851268,0,0,울산 동구,14,12
울산광역시,북구,62807,29036,17149,217825,112644,105181,1.6931599510175517,0,0,울산 북구,13,12
울산광역시,울주군,52979,23945,31575,221860,114482,107379,0.7583531274742676,0,0,울산 울주,14,11
울산광역시,중구,54835,25197,31785,219176,111093,108083,0.7927324209532799,0,0,울산 중구,15,11
인천광역시,강화군,10815,4857,22228,68662,34390,34273,0.2185081878711535,1,0,인천 강화,5,1
인천광역시,계양구,83391,39952,36088,297386,148266,149120,1.107071602748836,0,0,인천 계양,7,2
인천광역시,남동구,145481,70599,68239,524803,260553,264250,1.0345843286097394,0,0,인천 남동,10,2
인천광역시,동구,13856,6425,13723,62324,31473,30851,0.4681920862785106,1,0,인천 동구,6,2
인천광역시,미추홀구,113178,52867,66281,401346,201983,199363,0.7976192272295228,0,0,인천 미추홀,9,2
인천광역시,부평구,140742,68290,70322,497593,245889,251704,0.9711043485680158,0,0,인천 부평,8,2
인천광역시,서구,153454,74540,55342,539670,272307,267363,1.3468974738896318,0,0,인천 서구,6,1
인천광역시,연수구,107153,53003,35875,374306,186028,188278,1.4774355400696864,0,0,인천 연수,10,1
인천광역시,옹진군,4667,1473,5291,20367,11567,8800,0.2783972783972784,1,0,인천 옹진,10,0
인천광역시,중구,39667,18824,19309,135667,70331,65336,0.9748821792946296,0,0,인천 중구,9,1
전라남도,강진군,5446,2525,11881,34648,16711,17937,0.21252419829980645,1,0,강진,24,1
전라남도,고흥군,8098,3549,25951,64022,31065,32957,0.13675773573272704,1,1,고흥,22,5
전라남도,곡성군,4263,1958,10089,28267,13835,14433,0.19407275250272574,1,1,곡성,21,3
전라남도,광양시,39931,17641,19642,153640,79924,73716,0.8981264637002342,0,0,광양,21,5
전라남도,구례군,3887,1805,8741,25985,12663,13322,0.20649811234412532,1,0,구례,20,4
전라남도,나주시,27023,12851,25388,114376,57604,56772,0.5061840239483221,0,0,나주,22,1
전라남도,담양군,8667,3799,14070,46034,23452,22582,0.2700071073205402,1,0,담양,20,2
전라남도,목포시,54208,25624,36558,225273,112219,113054,0.7009136167186388,0,0,목포,22,0
전라남도,무안군,18235,8682,17082,83168,41747,41421,0.5082543027748507,0,0,무안,21,1
전라남도,보성군,5685,2560,15374,40544,19742,20802,0.16651489527774166,1,1,보성,24,3
전라남도,순천시,70234,33228,43095,279602,139449,140153,0.7710407239819005,0,0,순천,22,4
전라남도,신안군,5774,2225,14081,39201,20863,18338,0.15801434557204744,1,1,신안,21,0
전라남도,여수시,65443,29396,52858,279854,142573,137281,0.5561315221915321,0,0,여수,23,4
전라남도,영광군,9993,4600,15196,52970,26446,26525,0.3027112397999473,1,0,영광,19,1
